Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Sept. 12, 2020","Sept. 12, 2020",Bike Ride,1118,44.649479,12774,4.768290682,0.308196383,12.58312277,194.6807343,156,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4667321974
"Aug. 25, 2020","Aug. 24, 2020",Run,474,6.039980686,2144,5.912520878,0.590775496,10.14795999,101.5613546,0,5629,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4617803512
"Aug. 12, 2020","Aug. 11, 2020",Run,347,4.482457563,1541,5.726190299,0.56956499,10.4781652,105.3434739,0,4058,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4581369400
"Aug. 11, 2020","Aug. 11, 2020",Walk,57,1.002376692,749,12.45358357,7.112214666,4.817877039,8.436181248,0,1367,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4578265552
"Aug. 11, 2020","Aug. 11, 2020",Run,363,4.707154172,1596,5.651781098,0.487852193,10.61611816,122.9879997,0,4208,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4578252463
"Aug. 9, 2020","Aug. 9, 2020",Bike Ride,582,29.25385056,6647,3.786890808,0.125283345,15.84413652,478.9150249,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4572820603
"Aug. 6, 2020","Aug. 6, 2020",Walk,37,0.642519327,456,11.8150004,5.868279249,5.078284992,10.22446821,0,851,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4564177438
"Aug. 6, 2020","Aug. 6, 2020",Run,319,4.194030931,1297,5.152875954,0.679233278,11.64399008,88.33480001,0,3450,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4564169356
"July 23, 2020","July 23, 2020",Walk,41,0.65573526,636,16.17311153,7.669522489,3.709859789,7.823149932,0,1049,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4523385133
"July 23, 2020","July 23, 2020",Run,293,3.87454396,1185,5.095579317,0.587897926,11.77491022,102.058481,0,3156,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4523378329
"July 20, 2020","July 20, 2020",Run,399,5.216302333,1642,5.243465661,0.525672572,11.44280599,114.1395045,160,4360,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4513597162
"July 17, 2020","July 16, 2020",Run,347,4.596930202,1396,5.06022951,0.501647255,11.85716379,119.6059633,0,3720,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4505412901
"July 16, 2020","July 15, 2020",Run,337,4.577923849,1322,4.810562565,0.515592067,12.47256084,116.3710209,0,3542,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4502251198
